G,Tm,Opp,Outcome,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,DEF RTG,DREB,DREB%,STL,BLK,PTS OFF TOV,2ND CH PTS,OPP PTS FB,OPP PTS PAINT
1,DAL,SAS,W (+7),34:14:00,13,25,0.52,3,11,0.273,4,7,0.571,13,10,2,0,4,1,33,+4,118.5,33.2,71.2,7.1,5.9,16.8,14.9,14.2,52.3
2,DAL,BRK,W (+5),36:02:00,16,25,0.64,9,14,0.643,8,10,0.8,10,7,0,0,0,1,49,+9,117.2,33.8,71.9,6.5,5.5,14.8,14.1,14.6,46.2
3,DAL,MEM,W (+15),40:00:00,11,22,0.5,6,12,0.5,7,10,0.7,12,12,1,1,6,4,35,+6,112.8,32.7,71.3,7.4,6.3,17.4,14.2,13.2,46
4,DAL,CHI,W (+9),40:03:00,5,16,0.313,1,8,0.125,7,9,0.778,7,10,2,1,6,2,18,+11,113.9,31.9,70.5,8,4.9,14.6,14.1,13.7,44.3
5,DAL,DEN,L (-11),38:16:00,11,24,0.458,6,11,0.545,6,7,0.857,10,8,0,1,9,2,34,-4,113.2,32.9,71.2,7.2,5.4,16.7,12.5,13.8,49.8
6,DAL,CHO,W (+6),36:25:00,8,19,0.421,1,9,0.111,6,7,0.857,12,9,0,1,4,3,23,+3,120.9,30.4,69.8,6.5,4.9,17.9,14.7,14.2,53.1
7,DAL,ORL,W (+15),35:09:00,9,17,0.529,5,10,0.5,6,6,1,3,6,2,0,6,2,29,+7,111.2,32.7,73.1,8.3,5.5,17,12.8,14.9,49.4
8,DAL,TOR,L (-11),38:24:00,11,26,0.423,2,10,0.2,7,10,0.7,7,8,4,1,4,3,31,-7,116.3,32.7,71.6,7.4,4.9,16.3,14.5,13.7,52.5
9,DAL,LAC,W (+18),31:41:00,17,21,0.81,6,9,0.667,4,4,1,6,6,1,0,1,1,44,+32,113.3,32.9,70.7,8.2,5.2,15.7,14.1,14.3,47.7
10,DAL,NOP,W (+12),27:59:00,11,18,0.611,4,9,0.444,4,5,0.8,4,9,1,0,2,0,30,+14,111.4,33.6,71.6,8.3,4.9,16.3,13.8,13.3,47.7
11,DAL,NOP,L (-21),26:15:00,5,16,0.313,3,5,0.6,3,5,0.6,2,2,0,0,8,0,16,-26,111.4,33.6,71.6,8.3,4.9,16.3,13.8,13.3,47.7
12,DAL,WAS,W (+13),32:25:00,7,18,0.389,4,11,0.364,8,12,0.667,7,10,0,0,3,2,26,+12,121.6,30.8,66.1,7.6,5.3,16.4,17.3,14.8,58.9
13,DAL,MIL,L (-7),35:19:00,15,26,0.577,4,9,0.444,1,4,0.25,9,9,0,0,3,1,35,-17,116.3,34.5,71.4,6.6,5.6,15.8,15,15,53.6
14,DAL,SAC,L (-16),31:47:00,7,19,0.368,3,7,0.429,8,10,0.8,10,7,3,0,2,0,25,-14,115.6,33.1,74,6.9,4,16.7,11.7,11.9,50.6
15,DAL,LAL,W (+3),38:45:00,10,26,0.385,3,12,0.25,7,8,0.875,12,8,2,0,0,2,30,-11,113.4,34.9,73.5,7.7,5.5,17.5,14.8,15.4,48.2
16,DAL,LAC,L (-19),38:05:00,12,27,0.444,1,8,0.125,5,5,1,3,4,2,2,4,4,30,-14,113.3,32.9,70.7,8.2,5.2,15.7,14.1,14.3,47.7
17,DAL,HOU,W (+6),37:56:00,15,29,0.517,3,10,0.3,8,9,0.889,9,9,2,0,0,3,41,+12,111.4,34.9,72.6,7.1,4.1,14.6,13.6,9.6,46.3
18,DAL,OKC,L (-6),45:59:00,11,22,0.5,5,13,0.385,9,14,0.643,15,18,2,2,7,2,36,-7,112.3,32.6,67.1,8.2,6.4,15.5,15.7,10.9,45.8
19,DAL,UTA,W (+50),31:57:00,14,25,0.56,6,12,0.5,6,8,0.75,10,11,1,0,4,2,40,+34,116.8,33.5,71.5,7.2,5.9,19.7,13.6,16.7,51.6
20,DAL,POR,W (+13),41:09:00,11,28,0.393,3,14,0.214,7,8,0.875,6,10,1,1,5,1,32,+13,116,29.3,68.3,8.3,4.6,19.3,14.8,17.8,56.3
21,DAL,MEM,W (+7),43:53:00,9,21,0.429,5,10,0.5,12,13,0.923,8,6,2,2,3,3,35,+3,112.8,32.7,71.3,7.4,6.3,17.4,14.2,13.2,46
22,DAL,LAL,W (+2),43:21:00,12,28,0.429,3,10,0.3,6,6,1,6,17,1,0,4,0,33,+10,113.4,34.9,73.5,7.7,5.5,17.5,14.8,15.4,48.2
23,DAL,MIN,L (-18),39:19:00,15,27,0.556,2,7,0.286,7,7,1,6,13,2,0,8,2,39,-12,108.6,34.9,71.7,7.5,6,17.6,13.8,12.3,46.3
24,DAL,POR,W (+11),37:21:00,15,28,0.536,4,12,0.333,6,6,1,12,10,1,0,4,3,40,-4,116,29.3,68.3,8.3,4.6,19.3,14.8,17.8,56.3
25,DAL,DEN,L (-26),36:22:00,13,24,0.542,6,12,0.5,6,10,0.6,11,8,0,0,3,1,38,-29,113.2,32.9,71.2,7.2,5.4,16.7,12.5,13.8,49.8
26,DAL,LAC,L (-9),44:23:00,9,25,0.36,2,11,0.182,8,14,0.571,9,10,1,0,5,1,28,-4,113.3,32.9,70.7,8.2,5.2,15.7,14.1,14.3,47.7
